投注详细信息, , ,赔率,投注金额,输赢
753366270 WIN_HALF,"已下注 - 2026年7月19日, 22:59:51  - 已结算 - 2026年7月20日, 05:19:05 ","阿根廷 +0.25 让球盘 - 比赛

 -  西班牙  vs 阿根廷  国际足联 - 世界杯, 2026年7月20日, 03:00:00 , 最终得分: [0-0]","0.980 (港式)","风险: 118.00","57.82",
753366193 WIN,"已下注 - 2026年7月19日, 22:59:08  - 已结算 - 2026年7月20日, 05:18:23 ","小盘 2.25 大小盘 - 比赛

 -  西班牙  vs 阿根廷  国际足联 - 世界杯, 2026年7月20日, 03:00:00 , 最终得分: [0-0]","0.840 (港式)","风险: 168.00","141.12",
753036819 LOSE,"已下注 - 2026年7月18日, 17:37:37  - 已结算 - 2026年7月19日, 07:07:40 ","小盘 3.5 大小盘 - 比赛

 -  法国  vs 英格兰  国际足联 - 世界杯, 2026年7月19日, 05:00:00 , 最终得分: [4-6]","0.751 (港式)","风险: 150.00","-150.00",
753037810 WIN,"已下注 - 2026年7月18日, 17:39:53  - 已结算 - 2026年7月19日, 07:04:41 ","英格兰 +0.5 让球盘 - 比赛

 -  法国  vs 英格兰  国际足联 - 世界杯, 2026年7月19日, 05:00:00 , 最终得分: [4-6]","1.030 (港式)","风险: 117.80","121.33",
752402925 LOSE,"已下注 - 2026年7月15日, 21:01:37  - 已结算 - 2026年7月16日, 05:19:12 ","小盘 2.25 大小盘 - 比赛

 -  英格兰  vs 阿根廷  国际足联 - 世界杯, 2026年7月16日, 03:00:00 , 最终得分: [1-2]","0.763 (港式)","风险: 143.00","-143.00",
752402185 WIN,"已下注 - 2026年7月15日, 21:00:51  - 已结算 - 2026年7月16日, 05:15:10 ","阿根廷 +0.0 让球盘 - 比赛

 -  英格兰  vs 阿根廷  国际足联 - 世界杯, 2026年7月16日, 03:00:00 , 最终得分: [1-2]","1.100 (港式)","风险: 118.00","129.80",
752195680 WIN,"已下注 - 2026年7月14日, 22:09:02  - 已结算 - 2026年7月15日, 05:04:10 ","西班牙 +0.25 让球盘 - 比赛

 -  法国  vs 西班牙  国际足联 - 世界杯, 2026年7月15日, 03:00:00 , 最终得分: [0-2]","0.840 (港式)","风险: 125.00","105.00",
751608385 WIN,"已下注 - 2026年7月11日, 23:31:12  - 已结算 - 2026年7月12日, 11:01:41 ","小盘 2.5 大小盘 - 比赛

 -  阿根廷  vs 瑞士  国际足联 - 世界杯, 2026年7月12日, 09:00:00 , 最终得分: [1-1]","0.632 (港式)","风险: 125.00","79.00",
751607872 WIN,"已下注 - 2026年7月11日, 23:32:51  - 已结算 - 2026年7月12日, 07:11:41 ","挪威 +0.5 让球盘 - 比赛

 -  挪威  vs 英格兰  国际足联 - 世界杯, 2026年7月12日, 05:00:00 , 最终得分: [1-1]","0.917 (港式)","风险: 60.00","55.02",
751608555 WIN,"已下注 - 2026年7月11日, 23:32:33  - 已结算 - 2026年7月12日, 07:11:41 ","小盘 3 大小盘 - 比赛

 -  挪威  vs 英格兰  国际足联 - 世界杯, 2026年7月12日, 05:00:00 , 最终得分: [1-1]","0.735 (港式)","风险: 60.00","44.10",
